file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\util\JdbcUtil.java,in.ineuron.util.JdbcUtil,class,2,3,1,2,8,1,0,6,3,0.0,0.0,0.0,3,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,28,1,0,3,1,0,2,0,2,0,2,1,0,0,0,29,1,0
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\StudentServiceImpl.java,in.ineuron.service.StudentServiceImpl,class,4,5,1,4,4,1,0,5,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,4,19,4,0,0,0,0,0,0,5,0,1,0,0,0,0,14,1,0
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\servicefactory\StudentServiceFactory.java,in.ineuron.servicefactory.StudentServiceFactory,class,2,3,1,2,3,1,0,0,0,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,11,1,0,1,0,0,0,0,2,0,1,1,0,0,0,8,1,0
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\service\IStudentService.java,in.ineuron.service.IStudentService,interface,1,4,3,1,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\controller\TestApp.java,in.ineuron.controller.TestApp,class,4,5,1,4,23,1,0,28,10,0.0,0.0,0.0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,120,0,1,5,0,0,51,1,25,7,25,2,0,0,0,60,1,0
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\dto\Student.java,in.ineuron.dto.Student,class,0,5,5,0,9,1,0,0,12,0.7333334,0.33333334,1.0,9,0,9,0,0,0,9,0,0,0,5,1,0,5,0,0,1,0,0,34,5,0,0,0,0,5,1,5,1,5,0,0,0,0,22,1,0
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\persistence\StudentDaoImpl.java,in.ineuron.persistence.StudentDaoImpl,class,3,4,1,3,28,1,0,18,0,0.25,1.0,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,0,0,3,0,0,4,100,9,0,15,5,0,12,19,24,0,11,3,0,0,0,41,1,0
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\daofactory\StudentDaoFactory.java,in.ineuron.daofactory.StudentDaoFactory,class,2,3,1,2,3,1,0,0,0,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,11,1,0,1,0,0,0,0,2,0,1,1,0,0,0,8,1,0
C:\Users\MYPC\CRUD-APP-main\CRUD-APP-main\src\in\ineuron\persistence\IStudentDao.java,in.ineuron.persistence.IStudentDao,interface,1,4,3,1,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
