file,class,method,variable,usage
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,checkMyCart/0,current,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,checkMyCart/0,gocart,3
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,checkMyCart/0,mycart,5
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,checkMyCart/0,history,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,checkMyCart/0,observers,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,bakery,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,gocart,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,gowine,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,history,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,goveg,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,godairy,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,current,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,gobakery,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,veg,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,mycart,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,category,3
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,dairy,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,checkout,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,gocategory,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,gocheckout,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,wine,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,initiate/0,observers,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,getInstance/0,gc,4
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,touch/1[int],current,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goToHome/0,current,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goToHome/0,history,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goToHome/0,category,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goToHome/0,gocategory,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,setScreen/1[GroceryScreen],current,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,clearHistory/0,history,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,checkOut/0,current,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goBack/0,current,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goBack/0,history,5
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goBack/0,category,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goWine/0,current,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goWine/0,gowine,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goWine/0,history,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryController.java,GroceryController,goWine/0,wine,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Item.java,Item,getPrice/0,price,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Item.java,Item,"Item/2[java.lang.String,float]",price,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Item.java,Item,"Item/2[java.lang.String,float]",name,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Item.java,Item,getName/0,name,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\TwoFieldsEntered.java,TwoFieldsEntered,backspace/0,machine,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\TwoFieldsEntered.java,TwoFieldsEntered,number/1[java.lang.String],machine,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\TwoFieldsEntered.java,TwoFieldsEntered,invalidPin/0,machine,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\TwoFieldsEntered.java,TwoFieldsEntered,TwoFieldsEntered/1[PhoneNumberStateMachine],machine,3
