file,class,method,variable,usage
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Dairy.java,Dairy,notifyObservers/1[Item],observer,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Dairy.java,Dairy,notifyObservers/1[Item],item,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Dairy.java,Dairy,notifyObservers/1[Item],i,3
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Dairy.java,Dairy,type/1[int],j,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Dairy.java,Dairy,removeObserver/1[ItemObserver],obj,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Dairy.java,Dairy,removeObserver/1[ItemObserver],i,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Dairy.java,Dairy,touch/1[int],i,6
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Dairy.java,Dairy,registerObserver/1[ItemObserver],obj,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\EasyGrocery.java,EasyGrocery,touch/1[int],i,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\EasyGrocery.java,EasyGrocery,type/1[int],j,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\SendMyCart.java,SendMyCart,notifyObservers/1[Item],item,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\PhoneNumberState.java,PhoneNumberState,validPin/1[java.lang.String],digit,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\PhoneNumberState.java,PhoneNumberState,number/1[java.lang.String],digit,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryScreen.java,GroceryScreen,type/1[int],j,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\GroceryScreen.java,GroceryScreen,touch/1[int],i,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\CashHandler.java,CashHandler,setNext/1[PaymentHandler],p,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\PayOnlineHandler.java,PayOnlineHandler,setNext/1[PaymentHandler],p,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\PayOnlineHandler.java,PayOnlineHandler,makePayment/0,PaymentMethodId,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\MyCart.java,MyCart,touch/1[int],i,3
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\MyCart.java,MyCart,display/0,count,5
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\MyCart.java,MyCart,display/0,cartItems,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\MyCart.java,MyCart,type/1[int],j,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\MyCart.java,MyCart,update/1[Item],item,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\MyCart.java,MyCart,finalItems/0,i,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\ThreeFieldsEntered.java,ThreeFieldsEntered,ThreeFieldsEntered/1[PhoneNumberStateMachine],machine,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\ThreeFieldsEntered.java,ThreeFieldsEntered,validPin/1[java.lang.String],digit,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\ThreeFieldsEntered.java,ThreeFieldsEntered,number/1[java.lang.String],digit,0
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Bakery.java,Bakery,removeObserver/1[ItemObserver],obj,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Bakery.java,Bakery,removeObserver/1[ItemObserver],i,2
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Bakery.java,Bakery,notifyObservers/1[Item],observer,1
C:\Users\MYPC\EasyGroceryApp-master\EasyGroceryApp-master\easy grocery\Bakery.java,Bakery,notifyObservers/1[Item],item,1
